variant,lang,k,n_up,n_down,n_sig,mean_delta_avg,f96_clean,f96_ablated,f96_delta,f96_p
baseline_k20,en,20,9,12,21,8.881663049970355,0.0,2577.083740234375,2577.083740234375,1.7763568394002505e-15
baseline_k20,zh,20,12,9,20,320.66076741899764,0.0,2500.5126953125,2500.5126953125,1.7763568394002505e-15
baseline_k20,es,20,9,12,21,131.97917781557356,0.0,2855.437744140625,2855.437744140625,1.7763568394002505e-15
baseline_k20,bn,20,9,12,20,107.35998396078746,0.0,2345.710693359375,2345.710693359375,1.7763568394002505e-15
baseline_k20,sw,20,11,10,20,346.1148901893979,0.0,7035.78125,7035.78125,1.7763568394002505e-15
confirmed,en,5,16,5,21,232.36776442754837,0.0,2246.148681640625,2246.148681640625,1.7763568394002505e-15
confirmed,zh,3,2,17,19,-258.79442923409596,0.0,1262.8348388671875,1262.8348388671875,1.7763568394002505e-15
confirmed,es,3,16,5,21,1030.6712904430572,0.0,6302.62109375,6302.62109375,1.7763568394002505e-15
confirmed,sw,2,1,17,18,-155.84724953061058,0.0,0.0,0.0,1.0
random_k20,en,20,9,12,20,-69.47497379212152,0.0,1454.7869873046875,1454.7869873046875,1.7763568394002505e-15
random_k20,zh,20,10,9,19,124.80667622884114,0.0,0.0,0.0,1.0
random_k20,es,20,8,10,18,142.87606012253534,0.0,0.0,0.0,1.0
random_k20,bn,20,11,10,21,345.8953105381557,0.0,3511.055908203125,3511.055908203125,1.7763568394002505e-15
random_k20,sw,20,17,4,20,721.814620426723,0.0,1743.7205810546875,1743.7205810546875,1.7763568394002505e-15
top_A_k20,en,20,10,11,20,135.5085206996827,0.0,3161.4677734375,3161.4677734375,1.7763568394002505e-15
top_A_k20,zh,20,15,6,21,349.406115815753,0.0,2575.932861328125,2575.932861328125,1.7763568394002505e-15
top_A_k20,es,20,10,11,21,164.11117971511115,0.0,2386.65771484375,2386.65771484375,1.7763568394002505e-15
top_A_k20,bn,20,10,11,21,102.85693486531575,0.0,1847.483642578125,1847.483642578125,1.7763568394002505e-15
top_A_k20,sw,20,9,11,20,282.8230536324637,0.0,5836.587890625,5836.587890625,1.7763568394002505e-15
f96_clean,en,5,8,10,18,134.3508461543492,0.0,0.0,0.0,1.0
f96_clean,zh,1,12,6,18,27.91207530384972,0.0,0.0,0.0,1.0
f96_clean,es,7,9,9,18,179.31923130580358,0.0,0.0,0.0,1.0
f96_clean,bn,8,6,14,18,-28.00040325096675,0.0,1.671484351158142,1.671484351158142,0.31731050786291415
f96_clean,sw,3,9,10,19,-14.700421719324021,0.0,0.0,0.0,1.0
max_aligned_k20,en,20,9,11,20,974.0837823776972,0.0,25177.404296875,25177.404296875,1.7763568394002505e-15
max_aligned_k20,zh,20,9,11,20,900.1475650242397,0.0,21149.71484375,21149.71484375,1.7763568394002505e-15
max_aligned_k20,es,20,9,11,20,889.0330098470052,0.0,21685.794921875,21685.794921875,1.7763568394002505e-15
max_aligned_k20,bn,20,9,11,20,888.27959387643,0.0,19545.755859375,19545.755859375,1.7763568394002505e-15
max_aligned_k20,sw,20,10,11,20,852.1804386320568,0.0,18859.568359375,18859.568359375,1.7763568394002505e-15
